indType,Property_category,District,Street_name,Property_subcategory,numNumber,Built_uparea,Area_total,Bedroom,Bathroom,Grages,totalRooms,valLocation,latitude,longitude,totalAccess,flgHighlight,prop_char_95,Property_tax
L,Casas,Residencial Monsenhor Romeu Tortorelli,Avenida João Stella,Sobrado,51,162,162,2,1,2,2,1667,-22.00642,-47.92226,118,0,,72
L,Apartamentos,Jardim Brasil,Rua Eugênio Franco de Camargo,Padrão,1200,,49,2,2,1,3,2056,-22.02108,-47.87804,128,0,49,
L,Comercial,CENTRO,RUA SETE DE SETEMBRO,Prédio,1472,,525,,6,8,,16500,-22.0162116,-47.8963579,61,0,525,
L,Apartamentos,Jardim Paraíso,RUA PROF. NICOLETA STELLA GERMANO,Kitnet,57,,50,1,1,,1,889,-22.00516,-47.90103,159,0,50,35
L,Apartamentos,Jardim Paraíso,RUA PROF. NICOLETA STELLA GERMANO,Kitnet,57,,25,1,1,,1,778,-22.00516,-47.90103,117,0,25,35
L,Apartamentos,Jardim Paraíso,RUA PROF. NICOLETA STELLA GERMANO,Kitnet,57,,25,1,1,,1,778,-22.00516,-47.90103,65,0,25,35
L,Apartamentos,Jardim Paraíso,RUA PROF. NICOLETA STELLA GERMANO,Kitnet,57,,25,1,1,,1,778,-22.00516,-47.90103,39,0,25,35
L,Apartamentos,Jardim Paraíso,RUA PROF. NICOLETA STELLA GERMANO,Kitnet,57,,25,1,1,,1,778,-22.00516,-47.90103,38,0,25,35
L,Apartamentos,Jardim Paraíso,RUA PROF. NICOLETA STELLA GERMANO,Kitnet,57,,25,1,1,,1,778,-22.00516,-47.90103,36,0,25,35
SL,Casas,Vila São José,Rua Francisco Stella,Padrão,531,300,300,4,3,3,6,3334,-22.00247,-47.87513,116,1,,114
L,Apartamentos,Parque Santa Mônica,Avenida Tancredo de Almeida Neves,Padrão,457,,50,2,2,1,3,1500,-22.02074,-47.912,174,0,50,60
L,Apartamentos,Jardim Hikari,RUA VICENTE PETRILLI,Padrão,401,,45,2,1,1,2,889,-21.9931993,-47.901266,252,0,45,
L,Comercial,SANTA FELICIA,Rua Affonso Botelho de Abreu Sampaio,Salão,1051,,100,,2,,,1223,-21.99831,-47.91406,104,0,100,
L,Apartamentos,Cidade Jardim,RUA BERNARDINO FERNANDES NUNES,Padrão,1317,,47,2,1,1,2,1500,-21.9927093,-47.891874,287,0,47,
SL,Casas,Parque Tecnológico Damha,RUA MIGUEL DAMHA,Condomínio,1000,300,500,4,4,4,8,8889,-21.96392,-47.89699,52,0,,
L,Apartamentos,Residencial Monsenhor Romeu Tortorelli,Avenida João Stella,Padrão,480,,45,2,1,1,2,778,,,305,0,45,17
SL,Apartamentos,Cidade Jardim,RUA BERNARDINO FERNANDES NUNES,Padrão,1317,,48,2,1,1,2,1191,-21.9927093,-47.891874,449,0,48,0
L,Casas,Jardim Embaré,Rua Brasiliano Bento,Padrão,140,120,250,2,2,2,3,2556,-21.96636,-47.93684,359,0,,48
L,Apartamentos,Parque Faber Castell,Passeio das Palmeiras,Padrão,520,,59,2,2,1,3,1667,-22.01629,-47.91655,271,0,59,100
L,Casas,Vila Monteiro (Gleba I),Rua Rafael de Abreu Sampaio Vidal,Padrão,228,120,250,3,2,2,4,1778,-22.02667,-47.88256,355,0,,90
L,Casas,Parque Tecnológico Damha,RUA MIGUEL DAMHA,Condomínio,1000,150,300,3,4,,6,6112,-21.96392,-47.89699,137,0,,355
L,Apartamentos,Parque Faber Castell,Passeio das Palmeiras,Padrão,420,,64,2,2,2,3,3334,-22.01629,-47.91655,147,0,64,295
L,Apartamentos,Cidade Jardim,RUA BERNARDINO FERNANDES NUNES,Padrão,1317,,48,2,1,1,2,1300,-21.9927093,-47.891874,140,0,48,
L,Casas,Jardim Bandeirantes,Rua Alexandre Ranciaro,Padrão,300,181.4,244,3,2,1,4,2223,-22.0016,-47.91049,364,0,,108.08
L,Apartamentos,Jardim das Torres,RUA DOUTOR ANTÔNIO STELLA MORUZZI,Padrão,300,,40,2,1,1,2,889,-22.0335399,-47.911186,135,0,40,42
L,Apartamentos,Parque Faber Castell,Passeio das Magnólias,Padrão,345,,76,2,2,2,3,2556,,,131,0,76,328
L,Casas,Parque Delta,RUA PROFESSOR ABÍLIO RODRIGUES,Padrão,161,60,100,2,1,2,2,1112,-21.98891,-47.89739,279,0,,29
L,Apartamentos,Residencial Monsenhor Romeu Tortorelli,Avenida João Stella,Padrão,200,,50,2,1,1,2,889,-22.00539,-47.92306,89,0,50,43
L,Apartamentos,Parque Arnold Schimidt,RUA MIGUEL ALVES MARGARIDO,Padrão,280,,45,2,2,1,2,2778,-22.0031159,-47.8949527,154,0,45,134
L,Apartamentos,Parque Faber Castell,Avenida dos Sanhaços,Padrão,901,,45,2,1,1,2,1112,-22.01498,-47.91203,288,1,45,
L,Apartamentos,Cidade Jardim,RUA BERNARDINO FERNANDES NUNES,Padrão,1317,,48,2,1,1,2,1550,-21.9927093,-47.891874,70,0,48,
L,Apartamentos,Cidade Jardim,RUA BERNARDINO FERNANDES NUNES,Padrão,1317,,48,2,1,1,2,1450,-21.9927093,-47.891874,80,0,48,
L,Apartamentos,Cidade Jardim,RUA BERNARDINO FERNANDES NUNES,Padrão,1317,,48,2,1,1,2,1450,-21.9927093,-47.891874,54,0,48,
L,Comercial,Jardim Hikari,RUA EUGÊNIO GALUCCI,Barracão,101,,250,,2,4,,3889,-21.98894,-47.8984,36,0,200,211
L,Comercial,Jardim Hikari,RUA EUGÊNIO GALUCCI,Salão,101,,50,,1,,,1112,-21.98894,-47.8984,43,0,50,100
L,Comercial,Jardim Hikari,RUA EUGÊNIO GALUCCI,Barracão,101,,300,,2,4,,5000,-21.98894,-47.8984,30,0,250,300
L,Apartamentos,Vila Rancho Velho,Rua Theodolina Modena Coca,Padrão,85,,60,2,1,,2,1112,-22.01084,-47.86918,131,0,60,35
L,Apartamentos,Centro,Avenida São Carlos,Padrão,2724,,98,3,2,1,3,1800,-22.00906,-47.89073,365,0,98,185
L,Apartamentos,Jardim Paulistano,Rua Iwagiro Toyama,Padrão,680,,70,2,2,,2,1612,-21.99249,-47.89733,116,0,70,96
L,Apartamentos,Parque Faber Castell,Passeio das Magnólias,Padrão,345,,76,3,2,2,4,3000,,,619,0,76,275
L,Apartamentos,Jardim Lutfalla,RUA SALOMÃO DIBBO,Flat,321,,40,1,1,1,1,2000,-22.00443,-47.89592,78,0,40,
L,Apartamentos,Cidade Jardim,RUA BERNARDINO FERNANDES NUNES,Padrão,1317,,48,2,1,1,2,1112,-21.9927093,-47.891874,336,0,48,
L,Casas,Vila Boa Vista,Rua Luiz Carlos de Arruda Mendes,Padrão,534,200,240,3,1,2,3,1834,-22.02698,-47.90666,270,0,,
L,Casas,Vila Boa Vista,Rua Doutor Gastão de Sá,Fundos,617,40,100,1,1,,1,667,-22.02722,-47.90147,386,0,,10.5
L,Casas,Vila Brasília,Rua Chile,Kitnet,377,35,35,1,1,,1,889,-21.9966414,-47.8823685,163,0,,34
SL,Casas,Jardim Santa Paula,Avenida Eliza Gonzales Rabello,Condomínio,550,135,140,3,4,2,6,2350,-21.99672,-47.90195,147,0,,140
SL,Casas,Jardim Santa Paula,Avenida Eliza Gonzales Rabello,Condomínio,550,135,140,3,4,2,6,2350,-21.99672,-47.90195,70,0,,140
SL,Casas,Jardim Santa Paula,Avenida Eliza Gonzales Rabello,Condomínio,550,135,140,3,4,2,6,2400,-21.99672,-47.90195,44,0,,140
SL,Casas,Jardim Santa Paula,Avenida Eliza Gonzales Rabello,Condomínio,550,135,140,3,4,2,6,2450,-21.99672,-47.90195,40,0,,140
SL,Casas,Jardim Santa Paula,Avenida Eliza Gonzales Rabello,Condomínio,550,135,140,3,4,2,6,2450,-21.99672,-47.90195,37,0,,140
SL,Casas,Jardim Santa Paula,Avenida Eliza Gonzales Rabello,Condomínio,550,135,140,3,4,2,6,2400,-21.99672,-47.90195,32,0,,140
SL,Casas,Jardim Santa Paula,Avenida Eliza Gonzales Rabello,Condomínio,550,135,140,3,4,2,6,2150,-21.99672,-47.90195,117,0,,140
SL,Casas,Jardim Santa Paula,Avenida Eliza Gonzales Rabello,Condomínio,550,135,140,3,4,2,6,2150,-21.99672,-47.90195,53,0,,140
SL,Casas,Jardim Santa Paula,Avenida Eliza Gonzales Rabello,Condomínio,550,135,140,3,4,2,6,2150,-21.99672,-47.90195,63,0,,140
SL,Casas,Jardim Santa Paula,Avenida Eliza Gonzales Rabello,Condomínio,550,135,140,3,4,2,6,2200,-21.99672,-47.90195,25,0,,140
SL,Casas,Jardim Santa Paula,Avenida Eliza Gonzales Rabello,Condomínio,550,135,140,3,4,2,6,2200,-21.99672,-47.90195,50,0,,140
SL,Casas,Jardim Santa Paula,Avenida Eliza Gonzales Rabello,Condomínio,550,135,140,3,4,2,6,2270,-21.99672,-47.90195,23,0,,140
SL,Casas,Jardim Santa Paula,Avenida Eliza Gonzales Rabello,Condomínio,550,135,140,3,4,2,6,2270,-21.99672,-47.90195,50,0,,140
L,Apartamentos,Jardim Macarengo,Rua Adolfo Catani,Padrão,582,,35,1,1,,1,1112,-22.00695,-47.89187,330,0,35,47.78
SL,Apartamentos,Cidade Jardim,RUA BERNARDINO FERNANDES NUNES,Padrão,1317,,47,2,1,1,2,1270,-21.9927093,-47.891874,261,0,47,
SL,Casas,Centro,RUA SETE DE SETEMBRO,Padrão,1542,272,320,6,4,4,6,2690,-22.01616,-47.89547,118,1,,133
L,Terreno,Vila Jacobucci,Rua Antônio Rogano,Comercial,191,167.36,989.25,,,,,2500,-22.0065676,-47.8725278,28,0,,187
L,Casas,Vila Prado,Rua Antônio de Almeida Leite,Sobrado,510,92,139,2,1,,2,2667,-22.02666,-47.89972,160,0,,70
SL,Apartamentos,Jardim Jóckei Club A,Rua Ray Wesley Herrick,Padrão,475,,50,2,1,1,2,900,-21.98461,-47.89507,388,0,50,33
L,Apartamentos,Jardim Paraíso,Rua Princesa Isabel,Padrão,324,,62,2,2,1,3,2223,-22.01047,-47.90002,203,0,62,80
L,Apartamentos,Parque Santa Mônica,Avenida Tancredo de Almeida Neves,Padrão,457,,60,2,1,1,2,1400,,,206,0,60,60
SL,Apartamentos,Jardim São Carlos,RUA JESUÍNO DE ARRUDA,Padrão,1365,,55,2,1,1,2,778,-22.01971,-47.89757,210,0,55,65
L,Comercial,Jardim Ricetti,Rua Luiz Roher,Galpão,1178,,532.63,,4,2,,8889,-22.02794,-47.87368,183,0,451.7,482
L,Casas,MARIA STELLA FAGA,Avenida João de Lourenço,Padrão,657,180,180,2,2,4,2,1600,-22.00138,-47.85691,551,0,,100
L,Apartamentos,Parque Arnold Schimidt,Rua Thomaz Antônio Gonzaga,Padrão,85,,60,2,1,1,2,889,-22.00171,-47.89754,571,0,60,61.42
L,Comercial,SÃO JOÃO BATISTA,Rua Mariano Garcia Carrasco,Barracão,654,,115,,2,1,,2389,-22.00177,-47.8763,212,0,115,
